"","sum","sd","subj","upper","lower"
"X1",-0.701459644880366,0.0137230122624904,1,-0.687736632617875,-0.715182657142856
"X2",-0.209638707502245,0.0286848946628983,2,-0.180953812839347,-0.238323602165144
"X3",-0.335194521897599,0.0407355342285872,3,-0.294458987669011,-0.375930056126186
"X4",-0.798933137275984,0.0626353097060863,4,-0.736297827569898,-0.86156844698207
"X5",-0.614590653477962,0.091023081538659,5,-0.523567571939303,-0.705613735016621
"X6",-0.526120032687401,0.0335021954059434,6,-0.492617837281458,-0.559622228093345
"X7",-0.203187016510761,0.0867780329288171,7,-0.116408983581944,-0.289965049439578
"X8",-0.0583795277947956,0.0137680287095041,8,-0.0446114990852915,-0.0721475565042996
"X9",-0.443919270613672,0.0463882629607484,9,-0.397531007652924,-0.490307533574421
"X10",-1.09422224698796,0.271309613629326,10,-0.822912633358635,-1.36553186061729
"X11",-0.458883155328242,0.0496135842426073,11,-0.409269571085634,-0.508496739570849
"X12",-0.53315300049613,0.0773503646866858,12,-0.455802635809445,-0.610503365182816
"X13",-0.568355739922254,0.140347725899231,13,-0.428008014023024,-0.708703465821485
"X14",-0.848836252734122,0.155730644109809,14,-0.693105608624313,-1.00456689684393
"X15",-0.670956383619455,0.15522026556757,15,-0.515736118051884,-0.826176649187025
"X16",-0.669700689894438,0.118860685331095,16,-0.550840004563343,-0.788561375225533
"X17",-0.322769618337349,0.0521246535337726,17,-0.270644964803577,-0.374894271871122
"X18",-0.272702767681957,0.0556502390022856,18,-0.217052528679671,-0.328353006684243
"X19",-0.704333587213073,0.0268508346377114,19,-0.677482752575362,-0.731184421850784
"X20",-0.412814143357635,0.0429098022375176,20,-0.369904341120117,-0.455723945595152
"X21",-0.340202614433639,0.0506951742492623,21,-0.289507440184377,-0.390897788682902
"X22",-0.721720313423769,0.0419774859669734,22,-0.679742827456796,-0.763697799390742
"X23",-0.351862018019175,0.103123178990872,23,-0.248738839028303,-0.454985197010048
"X24",-0.347487332661824,0.0391790922349653,24,-0.308308240426859,-0.38666642489679
"X25",-0.72012778794805,0.0276583103371474,25,-0.692469477610903,-0.747786098285198
"X26",-0.143224323268812,0.0533693534095572,26,-0.0898549698592543,-0.196593676678369
"X27",-0.5892485676896,0.18813724353328,27,-0.40111132415632,-0.77738581122288
"X28",-0.58609278570527,0.0480645304182113,28,-0.538028255287059,-0.634157316123481
"X29",-0.619207336515984,0.0553308785695463,29,-0.563876457946438,-0.67453821508553
"X30",-0.912377973515265,0.178046325054308,30,-0.734331648460957,-1.09042429856957
"X31",-0.507325373761655,0.119058662919644,31,-0.388266710842011,-0.6263840366813
"X32",-0.700503213792082,0.0401811090404182,32,-0.660322104751663,-0.7406843228325
"X33",-0.660200411958029,0.0767915600489526,33,-0.583408851909076,-0.736991972006981
"X34",-0.157880537141402,0.0282474545218214,34,-0.12963308261958,-0.186127991663223
"X35",-0.689274206693088,0.0437559950346944,35,-0.645518211658394,-0.733030201727782
"X36",-0.665133182847582,0.0245317171446128,36,-0.640601465702969,-0.689664899992195
"X37",-0.724645757722321,0.0534686307936105,37,-0.67117712692871,-0.778114388515931
"X38",-0.616811353849884,0.0223268078569066,38,-0.594484545992978,-0.639138161706791
"X39",-0.334340312304522,0.038593275499259,39,-0.295747036805263,-0.372933587803781
"X40",-0.936657402026989,0.101447829608653,40,-0.835209572418337,-1.03810523163564
