"","sum","sd","subj","upper","lower"
"X1",-0.699481671521656,0.0107107310546651,1,-0.688770940466991,-0.710192402576321
"X2",-0.219389500736217,0.032559357256009,2,-0.186830143480208,-0.251948857992226
"X3",-0.337104460514746,0.0368130389014021,3,-0.300291421613344,-0.373917499416148
"X4",-0.791120072407723,0.0562645628871459,4,-0.734855509520577,-0.847384635294869
"X5",-0.626322458529016,0.0867742878806736,5,-0.539548170648343,-0.71309674640969
"X6",-0.534381986082147,0.0340305375523443,6,-0.500351448529802,-0.568412523634491
"X7",-0.245336649152152,0.0861074108582454,7,-0.159229238293906,-0.331444060010397
"X8",-0.0643472625316418,0.0164126116338155,8,-0.0479346508978264,-0.0807598741654573
"X9",-0.443498152160827,0.0409514420662461,9,-0.40254671009458,-0.484449594227073
"X10",-1.04453647430931,0.236444883323112,10,-0.808091590986201,-1.28098135763243
"X11",-0.449570682634501,0.0376707535169569,11,-0.411899929117544,-0.487241436151458
"X12",-0.537991528175115,0.084804041955663,12,-0.453187486219452,-0.622795570130778
"X13",-0.535419138187059,0.106397178579148,13,-0.429021959607911,-0.641816316766206
"X14",-0.788461901044109,0.135015496682743,14,-0.653446404361366,-0.923477397726852
"X15",-0.639350579712439,0.134014370976444,15,-0.505336208735995,-0.773364950688882
"X16",-0.652454452909267,0.103143330578869,16,-0.549311122330398,-0.755597783488136
"X17",-0.324617390867412,0.0494341586482355,17,-0.275183232219176,-0.374051549515647
"X18",-0.278963975139796,0.052614289853233,18,-0.226349685286563,-0.331578264993029
"X19",-0.701636123960347,0.0241166503021234,19,-0.677519473658224,-0.72575277426247
"X20",-0.408892537336533,0.0375637143887834,20,-0.371328822947749,-0.446456251725316
"X21",-0.348920304883091,0.0531570556731268,21,-0.295763249209964,-0.402077360556218
"X22",-0.711248458714928,0.0327838401313285,22,-0.678464618583599,-0.744032298846256
"X23",-0.374628290221891,0.0993243467533498,23,-0.275303943468541,-0.473952636975241
"X24",-0.348085805482347,0.0384100384043922,24,-0.309675767077954,-0.386495843886739
"X25",-0.714905228076937,0.0241126336468446,25,-0.690792594430092,-0.739017861723781
"X26",-0.197723383184711,0.058454195970429,26,-0.139269187214282,-0.25617757915514
"X27",-0.539747985164591,0.164290103388943,27,-0.375457881775648,-0.704038088553535
"X28",-0.587238363798291,0.0489385213561476,28,-0.538299842442143,-0.636176885154439
"X29",-0.607019634115855,0.0488626048808394,29,-0.558157029235016,-0.655882238996694
"X30",-0.817869480586992,0.146785737557257,30,-0.671083743029735,-0.964655218144249
"X31",-0.476740978147158,0.108549831608782,31,-0.368191146538376,-0.58529080975594
"X32",-0.698974876307406,0.0386500316213901,32,-0.660324844686016,-0.737624907928796
"X33",-0.643520449007537,0.065937748542477,33,-0.57758270046506,-0.709458197550014
"X34",-0.168218068611726,0.0315471601719519,34,-0.136670908439774,-0.199765228783678
"X35",-0.687454750832834,0.0408626340719776,35,-0.646592116760856,-0.728317384904812
"X36",-0.660355437426231,0.0233519546157158,36,-0.637003482810516,-0.683707392041947
"X37",-0.721059372638056,0.0464010888444388,37,-0.674658283793617,-0.767460461482495
"X38",-0.615850757884719,0.0207727486825697,38,-0.595078009202149,-0.636623506567288
"X39",-0.341055655721609,0.0358745232179621,39,-0.305181132503647,-0.376930178939571
"X40",-0.917052815066517,0.0973294901162235,40,-0.819723324950294,-1.01438230518274
