"","sum","sd","subj","upper","lower"
"X1",-0.717009665456113,0.00227418446094208,1,-0.714735480995171,-0.719283849917055
"X2",-0.397014485076082,0.00690252676600972,2,-0.390111958310073,-0.403917011842092
"X3",-0.416853044730299,0.00492089142182294,3,-0.411932153308476,-0.421773936152122
"X4",-0.750347022142945,0.00368932553984883,4,-0.746657696603097,-0.754036347682794
"X5",-0.633444681494904,0.00529142979952128,5,-0.628153251695382,-0.638736111294425
"X6",-0.592436773706822,0.00416480287222976,6,-0.588271970834593,-0.596601576579052
"X7",-0.494299792948136,0.00954884183520197,7,-0.484750951112934,-0.503848634783338
"X8",-0.301780844889369,0.00806907602598249,8,-0.293711768863386,-0.309849920915351
"X9",-0.538107308859902,0.00445048541485033,9,-0.533656823445051,-0.542557794274752
"X10",-0.964766667447246,0.0190161506276884,10,-0.945750516819558,-0.983782818074935
"X11",-0.526086250502282,0.00373492802221933,11,-0.522351322480063,-0.529821178524502
"X12",-0.446603831065746,0.00404286868603496,12,-0.442560962379711,-0.450646699751781
"X13",-0.474721196286945,0.0042531311662371,13,-0.470468065120708,-0.478974327453182
"X14",-0.49479075683231,0.00348950858537231,14,-0.491301248246938,-0.498280265417682
"X15",-0.424451873407516,0.00631162878891898,15,-0.418140244618597,-0.430763502196435
"X16",-0.551764601071279,0.00604755232254913,16,-0.54571704874873,-0.557812153393828
"X17",-0.398596973439913,0.00659264353844721,17,-0.392004329901465,-0.40518961697836
"X18",-0.409819326108659,0.00656210020829721,18,-0.403257225900362,-0.416381426316956
"X19",-0.661062125299994,0.0015870278148738,19,-0.65947509748512,-0.662649153114868
"X20",-0.461326883283529,0.00545830172531929,20,-0.45586858155821,-0.466785185008848
"X21",-0.425958680255208,0.00620136383547456,21,-0.419757316419734,-0.432160044090683
"X22",-0.688324202216214,0.0010904132671703,22,-0.687233788949044,-0.689414615483384
"X23",-0.518734040809544,0.00946187622939462,23,-0.509272164580149,-0.528195917038939
"X24",-0.512625582783541,0.00671656651001068,24,-0.505909016273531,-0.519342149293552
"X25",-0.746471358888104,0.00382272176514851,25,-0.742648637122955,-0.750294080653252
"X26",-0.603686701190071,0.00868383807131341,26,-0.595002863118757,-0.612370539261384
"X27",-0.358916178839313,0.00733500849689045,27,-0.351581170342422,-0.366251187336203
"X28",-0.610663853550039,0.00512873881312186,28,-0.605535114736917,-0.615792592363161
"X29",-0.578233141168665,0.00343061481622514,29,-0.57480252635244,-0.58166375598489
"X30",-0.600569824579578,0.00372777807817709,30,-0.596842046501401,-0.604297602657755
"X31",-0.402923403938185,0.00728844579161629,31,-0.395634958146568,-0.410211849729801
"X32",-0.688435095900514,0.00333300889645659,32,-0.685102087004057,-0.69176810479697
"X33",-0.580078684751856,0.00330129098210238,33,-0.576777393769753,-0.583379975733958
"X34",-0.372594686069311,0.00736362047360627,34,-0.365231065595704,-0.379958306542917
"X35",-0.604410755014442,0.00176531190548487,35,-0.602645443108957,-0.606176066919927
"X36",-0.655767478929403,0.00278472891527524,36,-0.652982750014128,-0.658552207844679
"X37",-0.927506684524992,0.0154654519632608,37,-0.912041232561731,-0.942972136488253
"X38",-0.648898265758458,0.00395297952533008,38,-0.644945286233128,-0.652851245283788
"X39",-0.458258509063011,0.00600465215007235,39,-0.452253856912938,-0.464263161213083
"X40",-0.891646281564558,0.010264683824211,40,-0.881381597740347,-0.901910965388769
"X41",-0.528967730540671,0.0042064933145934,41,-0.524761237226078,-0.533174223855265
"X42",-0.59109968086392,0.0083878816342712,42,-0.582711799229649,-0.599487562498191
"X43",-0.545583991074739,0.0128493492458134,43,-0.532734641828925,-0.558433340320552
"X44",-0.616326048476967,0.00429774243345149,44,-0.612028306043516,-0.620623790910419
"X45",-0.80106853261798,0.00501318625147324,45,-0.796055346366507,-0.806081718869454
"X46",-0.606583472190696,0.00641543993139536,46,-0.600168032259301,-0.612998912122091
"X47",-0.559042192152141,0.00885061235932169,47,-0.550191579792819,-0.567892804511463
"X48",-0.498055386027906,0.00685293259586005,48,-0.491202453432046,-0.504908318623766
"X49",-0.472616139906859,0.00814809073203033,49,-0.464468049174829,-0.480764230638889
"X50",-0.582645323275083,0.00857679133476209,50,-0.574068531940321,-0.591222114609845
"X51",-0.478794693843182,0.00638365241444248,51,-0.472411041428739,-0.485178346257624
"X52",-0.628216830953763,0.00614083959692142,52,-0.622075991356841,-0.634357670550684
