"","sum","sd","subj","upper","lower"
"X1",-0.703745940179267,0.0193248978562673,1,-0.684421042323,-0.723070838035534
"X2",-0.228218128572145,0.0414617190032167,2,-0.186756409568928,-0.269679847575362
"X3",-0.395943686428263,0.0947101485738295,3,-0.301233537854434,-0.490653835002093
"X4",-0.824300415840998,0.0847637781369679,4,-0.73953663770403,-0.909064193977966
"X5",-0.420186162428873,0.137093971637141,5,-0.283092190791732,-0.557280134066015
"X6",-0.618353533354304,0.118815109783718,6,-0.499538423570586,-0.737168643138022
"X7",-0.152974665961903,0.155006283624603,7,0.00203161766269974,-0.307980949586506
"X8",-0.0535954558598982,0.0120839405321941,8,-0.0415115153277041,-0.0656793963920923
"X9",-0.618636588873123,0.176963148378059,9,-0.441673440495064,-0.795599737251181
"X10",-1.27886109460229,0.427555700600169,10,-0.851305394002118,-1.70641679520246
"X11",-0.453968438001368,0.0698697627542129,11,-0.384098675247155,-0.523838200755581
"X12",-0.522161694396676,0.0615751274625286,12,-0.460586566934148,-0.583736821859205
"X13",-0.593183724064636,0.150539007906793,13,-0.442644716157844,-0.743722731971429
"X14",-0.981377716560662,0.200843384488104,14,-0.780534332072558,-1.18222110104877
"X15",-0.725972057359911,0.261520475476721,15,-0.46445158188319,-0.987492532836632
"X16",-0.695866183566401,0.219511931943754,16,-0.476354251622647,-0.915378115510154
"X17",-0.330351752730243,0.0671406003241446,17,-0.263211152406098,-0.397492353054387
"X18",-0.360552925789053,0.120855966206841,18,-0.239696959582212,-0.481408891995894
"X19",-0.719131686196447,0.0441416566317067,19,-0.67499002956474,-0.763273342828154
"X20",-0.455211317091455,0.0639645503548523,20,-0.391246766736603,-0.519175867446308
"X21",-0.348668380685722,0.0540884762646866,21,-0.294579904421036,-0.402756856950409
"X22",-0.723805852412731,0.056407076403501,22,-0.66739877600923,-0.780212928816232
"X23",-0.358103907030648,0.256493401792333,23,-0.101610505238315,-0.614597308822981
"X24",-0.353925077454405,0.0425102152635973,24,-0.311414862190808,-0.396435292718003
"X25",-0.714575548210928,0.0353469580252246,25,-0.679228590185703,-0.749922506236152
"X26",-0.054258895232195,0.0358007531507786,26,-0.0184581420814164,-0.0900596483829735
