"","X","sum","sd","subj","upper","lower"
"1","X1",-0.202424134582685,0.0317119252722499,1,-0.170712209310435,-0.234136059854935
"2","X2",-0.142085142963778,0.0356689692782021,2,-0.106416173685576,-0.17775411224198
"3","X3",-0.283492176615387,0.0400532885448485,3,-0.243438888070538,-0.323545465160236
"4","X4",-0.789843106929741,0.0843188182870926,4,-0.705524288642648,-0.874161925216833
"5","X5",-0.279541837544897,0.0956970691052272,5,-0.18384476843967,-0.375238906650125
"6","X6",-0.659502147912289,0.121803247450822,6,-0.537698900461467,-0.78130539536311
"7","X7",-0.190266745285735,0.146885655941643,7,-0.0433810893440912,-0.337152401227378
"8","X8",-0.0574950407484616,0.017240807761072,8,-0.0402542329873895,-0.0747358485095336
"9","X9",-0.550709182838947,0.10915371318434,9,-0.441555469654607,-0.659862896023287
"10","X10",-1.25353080252695,0.338609960669345,10,-0.914920841857602,-1.59214076319629
"11","X11",-0.472870882332137,0.0665752496746895,11,-0.406295632657447,-0.539446132006826
"12","X12",-0.510473983517478,0.0585149893343853,12,-0.451958994183093,-0.568988972851864
"13","X13",-0.488678717290944,0.107706171519026,13,-0.380972545771919,-0.59638488880997
"14","X14",-0.499261343371535,0.102454392136163,14,-0.396806951235372,-0.601715735507699
"15","X15",-0.631882937296202,0.184943443336295,15,-0.446939493959907,-0.816826380632496
"16","X16",-0.802265070350522,0.26577439605918,16,-0.536490674291342,-1.0680394664097
"17","X17",-0.341429650009009,0.0542806348382388,17,-0.28714901517077,-0.395710284847248
"18","X18",-0.238395248856074,0.0899283843603404,18,-0.148466864495733,-0.328323633216414
"19","X19",-0.667603351602733,0.0445152782986603,19,-0.623088073304072,-0.712118629901393
"20","X20",-0.510906398424868,0.078692237210797,20,-0.432214161214071,-0.589598635635665
"21","X21",-0.310680862901782,0.0330806061357309,21,-0.277600256766052,-0.343761469037513
"22","X22",-0.722358411168217,0.0791330944124843,22,-0.643225316755733,-0.801491505580701
"23","X23",-0.362388262163307,0.20363767624118,23,-0.158750585922127,-0.566025938404487
"24","X24",-0.318388974776095,0.0639959633859415,24,-0.254393011390153,-0.382384938162037
"25","X25",-0.435081016744092,0.039567106810296,25,-0.395513909933796,-0.474648123554388
"26","X26",-0.0384813367413116,0.0263616107791729,26,-0.0121197259621387,-0.0648429475204844
"27","X27",-0.296986666578984,0.138359298088655,27,-0.158627368490329,-0.43534596466764
"28","X28",-0.498535153716834,0.0267295987580634,28,-0.471805554958771,-0.525264752474898
"29","X29",-0.537924209099861,0.0574231310670496,29,-0.480501078032812,-0.595347340166911
"30","X30",-0.682039937346572,0.204916165679859,30,-0.477123771666713,-0.886956103026431
"31","X31",-0.26281765364881,0.142227693659378,31,-0.120589959989432,-0.405045347308188
"32","X32",-0.647564275936143,0.0981962483305041,32,-0.549368027605639,-0.745760524266647
"33","X33",-0.656757578994464,0.110628066702016,33,-0.546129512292448,-0.767385645696479
"34","X34",-0.152133532838871,0.0301348379918859,34,-0.121998694846985,-0.182268370830757
"35","X35",-0.735376949169157,0.0538166196005374,35,-0.68156032956862,-0.789193568769694
"36","X36",-0.680632468618059,0.057041388512709,36,-0.62359108010535,-0.737673857130767
"37","X37",-0.197986679409779,0.0756136368540082,37,-0.122373042555771,-0.273600316263788
"38","X38",-0.628041727462833,0.0299301768426657,38,-0.598111550620168,-0.657971904305499
"39","X39",-0.374067720299266,0.0671618340944588,39,-0.306905886204807,-0.441229554393725
"40","X40",-0.844638242647538,0.0880296757329855,40,-0.756608566914552,-0.932667918380523
