"","X","sum","sd","subj","upper","lower"
"1","X1",-0.543109896331306,0.0514070613881974,1,-0.491702834943108,-0.594516957719503
"2","X2",-1.29977758678395,0.792785104587293,2,-0.506992482196659,-2.09256269137125
"3","X3",-0.542706597205594,0.104543490935801,3,-0.438163106269793,-0.647250088141396
"4","X4",-0.571647994282631,0.162047474326928,4,-0.409600519955703,-0.733695468609559
"5","X5",-0.833693419532551,0.0851855013676173,5,-0.748507918164934,-0.918878920900169
"6","X6",-0.621496284070359,0.11787337839685,6,-0.503622905673509,-0.739369662467209
"7","X7",-0.0884231936740141,0.0557470350299274,7,-0.0326761586440867,-0.144170228703941
"8","X8",-0.522369978646117,0.164627344617119,8,-0.357742634028998,-0.686997323263237
"9","X9",-0.49777644294559,0.12867974263493,9,-0.36909670031066,-0.62645618558052
"10","X10",-0.222286859882798,0.0896847642442536,10,-0.132602095638544,-0.311971624127052
"11","X11",-0.623104080214419,0.146235300086389,11,-0.47686878012803,-0.769339380300808
"12","X12",-0.499621186049493,0.0486985980161432,12,-0.45092258803335,-0.548319784065636
"13","X13",-0.892823910645614,0.142974327405479,13,-0.749849583240135,-1.03579823805109
"14","X14",-0.744208764554415,0.0672322668396148,14,-0.6769764977148,-0.81144103139403
"15","X15",-0.744985262350593,0.11044425350875,15,-0.634541008841843,-0.855429515859343
"16","X16",-0.50475599480967,0.329287909812054,16,-0.175468084997616,-0.834043904621724
"17","X17",-0.820506888606743,0.123346359007913,17,-0.69716052959883,-0.943853247614656
"18","X18",-1.6102052497172,0.518142714974221,18,-1.09206253474298,-2.12834796469142
"19","X19",-0.758666367405574,0.126746116500355,19,-0.631920250905218,-0.885412483905929
"20","X20",-0.49480146920585,0.039241668676477,20,-0.455559800529373,-0.534043137882327
"21","X21",-1.09835062634611,0.179626695336518,21,-0.918723931009597,-1.27797732168263
"22","X22",-0.494256491779041,0.196998126351166,22,-0.297258365427875,-0.691254618130206
"23","X23",-0.88426589248984,0.593625146665739,23,-0.290640745824101,-1.47789103915558
"24","X24",-1.04119927043624,0.169067004695916,24,-0.872132265740325,-1.21026627513216
"25","X25",-0.573197389615011,0.120535936448838,25,-0.452661453166174,-0.693733326063849
"26","X26",-0.637553522944965,0.0451517378112091,26,-0.592401785133756,-0.682705260756174
"27","X27",-0.504729381949908,0.0643917240718807,27,-0.440337657878027,-0.569121106021788
"28","X28",-0.665523935831092,0.0646254951679288,28,-0.600898440663163,-0.730149430999021
"29","X29",-0.787634947736832,0.0621451826019583,29,-0.725489765134873,-0.84978013033879
"30","X30",-0.588200516768562,0.0679695956782503,30,-0.520230921090312,-0.656170112446812
"31","X31",-1.00811470302722,0.429407623300183,31,-0.578707079727038,-1.4375223263274
"32","X32",-0.174802975781457,0.0369941970250801,32,-0.137808778756376,-0.211797172806537
"33","X33",-0.19125646180714,0.0466110961736348,33,-0.144645365633506,-0.237867557980775
"34","X34",-0.879342747562326,0.107423125323823,34,-0.771919622238503,-0.98676587288615
"35","X35",-0.457354405104965,0.116659964601164,35,-0.340694440503801,-0.574014369706129
"36","X36",-0.8702836155687,0.104065397328179,36,-0.766218218240521,-0.974349012896878
"37","X37",-0.963188997805159,0.123911694627779,37,-0.839277303177381,-1.08710069243294
"38","X38",-0.576807500077281,0.0761419786992139,38,-0.500665521378067,-0.652949478776495
"39","X39",-0.777536968075662,0.230986746204109,39,-0.546550221871552,-1.00852371427977
"40","X40",-0.625492412597271,0.102977968924914,40,-0.522514443672357,-0.728470381522185
"41","X41",-0.798802152717295,0.101048527111156,41,-0.697753625606138,-0.899850679828451
"42","X42",-0.617389785965381,0.0715338779108038,42,-0.545855908054577,-0.688923663876185
"43","X43",-0.214875933416649,0.0523550532360263,43,-0.162520880180623,-0.267230986652675
"44","X44",-0.701430173030022,0.032541492211165,44,-0.668888680818857,-0.733971665241187
"45","X45",-0.658772825593581,0.0501063515626084,45,-0.608666474030973,-0.708879177156189
"46","X46",-0.344087883746133,0.0730943785379169,46,-0.270993505208216,-0.41718226228405
"47","X47",-0.0992739489809287,0.056334529777335,47,-0.0429394192035937,-0.155608478758264
"48","X48",-0.714630182135617,0.0714884811164985,48,-0.643141701019118,-0.786118663252115
"49","X49",-0.684538694840566,0.098518762210319,49,-0.586019932630247,-0.783057457050885
"50","X50",-0.649734608772363,0.107702457946156,50,-0.542032150826207,-0.757437066718519
"51","X51",-0.332748295733944,0.0637670290496972,51,-0.268981266684247,-0.396515324783641
"52","X52",-0.195268643779193,0.0938476101406679,52,-0.101421033638525,-0.289116253919861
"53","X53",-0.74011932020517,0.069368602899675,53,-0.670750717305495,-0.809487923104845
"54","X54",-0.43498304761355,0.0618726904940835,54,-0.373110357119467,-0.496855738107634
"55","X55",-0.734793825814518,0.385399689878113,55,-0.349394135936405,-1.12019351569263
"56","X56",-0.292642614139585,0.0513102407883281,56,-0.241332373351257,-0.343952854927913
"57","X57",-0.425731977429943,0.220445933067285,57,-0.205286044362658,-0.646177910497228
"58","X58",-0.117066741984389,0.0654279899615589,58,-0.0516387520228301,-0.182494731945948
"59","X59",-0.525930642637545,0.050901957179585,59,-0.47502868545796,-0.57683259981713
"60","X60",-0.203220661512742,0.0793245810472371,60,-0.123896080465504,-0.282545242559979
"61","X61",-0.604212761394798,0.0855305729045349,61,-0.518682188490263,-0.689743334299333
"62","X62",-0.573152553325064,0.102499344272023,62,-0.470653209053041,-0.675651897597087
"63","X63",-0.103583473116423,0.030654159666462,63,-0.0729293134499606,-0.134237632782885
"64","X64",-0.866456861476627,0.0866226295818414,64,-0.779834231894785,-0.953079491058468
"65","X65",-0.560143397236788,0.0562222262886427,65,-0.503921170948145,-0.61636562352543
"66","X66",-0.82869713843511,0.218616889258342,66,-0.610080249176768,-1.04731402769345
"67","X67",-0.0726188281234388,0.0541794919568523,67,-0.0184393361665864,-0.126798320080291
"68","X68",-0.0178039797363999,0.0214142923950532,68,0.00361031265865328,-0.0392182721314531
"69","X69",-0.456659119389792,0.142928854792019,69,-0.313730264597772,-0.599587974181811
"70","X70",-0.445598439755325,0.124467678296434,70,-0.32113076145889,-0.570066118051759
"71","X71",-0.396330291046902,0.0599221267541649,71,-0.336408164292737,-0.456252417801067
"72","X72",-0.597440065736804,0.0678772197099737,72,-0.52956284602683,-0.665317285446777
"73","X73",-0.769325662730132,0.0970705921612579,73,-0.672255070568874,-0.86639625489139
"74","X74",-0.301029429027659,0.145549254806512,74,-0.155480174221147,-0.446578683834172
"75","X75",-0.351810765745267,0.204285173106981,75,-0.147525592638286,-0.556095938852247
"76","X76",-1.05107294373621,0.194974481365489,76,-0.856098462370719,-1.2460474251017
"77","X77",-0.741975452295981,0.0819469532062286,77,-0.660028499089752,-0.82392240550221
"78","X78",-0.729542763984128,0.152738640295143,78,-0.576804123688986,-0.882281404279271
"79","X79",-0.764929391472856,0.0521836413788711,79,-0.712745750093985,-0.817113032851727
"80","X80",-0.0974444330469795,0.0580695841140728,80,-0.0393748489329068,-0.155514017161052
"81","X81",-0.771572690779106,0.21788201603095,81,-0.553690674748157,-0.989454706810056
"82","X82",-0.0727669517865979,0.0284922957829228,82,-0.0442746560036751,-0.101259247569521
"83","X83",-0.778864862934193,0.139962348194409,83,-0.638902514739784,-0.918827211128602
"84","X84",-1.07145480683744,0.284492942601515,84,-0.78696186423592,-1.35594774943895
"85","X85",-0.603459868279518,0.111171616779183,85,-0.492288251500336,-0.714631485058701
"86","X86",-0.616850380794235,0.100133504973093,86,-0.516716875821142,-0.716983885767328
"87","X87",-0.795062880325187,0.0899429277763234,87,-0.705119952548863,-0.88500580810151
"88","X88",-1.20676049647135,0.518912336131414,88,-0.687848160339937,-1.72567283260276
"89","X89",-0.450717306839799,0.0531861893715848,89,-0.397531117468214,-0.503903496211383
"90","X90",-1.20451899693775,0.713960485348114,90,-0.49055851158964,-1.91847948228587
"91","X91",-0.79961085301155,0.0995509018837578,91,-0.700059951127792,-0.899161754895308
"92","X92",-0.530146846702411,0.0890157740042791,92,-0.441131072698131,-0.61916262070669
