"","sum","sd","subj","upper","lower"
"X1",-0.201864228927925,0.037837261169265,1,-0.16402696775866,-0.23970149009719
"X2",-0.149033932905558,0.0446261462888962,2,-0.104407786616662,-0.193660079194454
"X3",-0.36114788755671,0.116220888872051,3,-0.244926998684659,-0.477368776428762
"X4",-0.822206171597715,0.103644429314883,4,-0.718561742282831,-0.925850600912598
"X5",-0.283846892501545,0.101561873100265,5,-0.18228501940128,-0.385408765601811
"X6",-0.662492143514815,0.130913965200539,6,-0.531578178314276,-0.793406108715353
"X7",-0.165440864389388,0.181703782872662,7,0.0162629184832742,-0.34714464726205
"X8",-0.0540220308867132,0.0174063323749015,8,-0.0366156985118117,-0.0714283632616146
"X9",-0.613594487003503,0.157477970253393,9,-0.456116516750111,-0.771072457256896
"X10",-1.32132028778483,0.384868765868669,10,-0.936451521916159,-1.7061890536535
"X11",-0.463388016733941,0.0692558707888325,11,-0.394132145945109,-0.532643887522774
"X12",-0.528612689318037,0.0639273064781133,12,-0.464685382839924,-0.59253999579615
"X13",-0.555618734723931,0.150089360746928,13,-0.405529373977002,-0.705708095470859
"X14",-0.576714300299635,0.174400710182666,14,-0.402313590116969,-0.751115010482302
"X15",-0.725799376466675,0.252496250566563,15,-0.473303125900112,-0.978295627033238
"X16",-0.986846538538264,0.380625961596675,16,-0.606220576941589,-1.36747250013494
"X17",-0.354953522674442,0.0606682126706906,17,-0.294285310003752,-0.415621735345133
"X18",-0.290596194116105,0.119422189169649,18,-0.171174004946456,-0.410018383285753
"X19",-0.679511808434008,0.0558583850548026,19,-0.623653423379205,-0.735370193488811
"X20",-0.52435286801464,0.0869571181987608,20,-0.437395749815879,-0.611309986213401
"X21",-0.318604699756117,0.0416891629673768,21,-0.276915536788741,-0.360293862723494
"X22",-0.694889567771865,0.0818887137343927,22,-0.613000854037473,-0.776778281506258
"X23",-0.419350677334878,0.277441312537424,23,-0.141909364797454,-0.696791989872302
"X24",-0.303442847697296,0.0653422629932005,24,-0.238100584704096,-0.368785110690497
"X25",-0.436606683307054,0.0479526637662591,25,-0.388654019540795,-0.484559347073313
"X26",-0.0292656899885049,0.027539273053944,26,-0.00172641693456092,-0.0568049630424489
"X27",-0.266567643103534,0.158926069556974,27,-0.10764157354656,-0.425493712660508
"X28",-0.493195136090648,0.0287989589634838,28,-0.464396177127164,-0.521994095054131
"X29",-0.573673143347727,0.0710942100516683,29,-0.502578933296059,-0.644767353399396
"X30",-0.709591820831517,0.24492023394579,30,-0.464671586885726,-0.954512054777307
"X31",-0.691537114701132,0.597828649514741,31,-0.093708465186391,-1.28936576421587
"X32",-0.699238524700298,0.132014980269401,32,-0.567223544430897,-0.831253504969698
"X33",-0.696463260068395,0.134465390741449,33,-0.561997869326946,-0.830928650809844
"X34",-0.152340833736019,0.033036633824275,34,-0.119304199911744,-0.185377467560294
"X35",-0.738923828504861,0.0539843784804432,35,-0.684939450024417,-0.792908206985304
"X36",-0.685596776432359,0.064312614688063,36,-0.621284161744296,-0.749909391120422
"X37",-0.36172868479839,0.304413437985451,37,-0.0573152468129389,-0.66614212278384
"X38",-0.616665679436322,0.0239582884713376,38,-0.592707390964984,-0.640623967907659
"X39",-0.397556063904587,0.0815128015894487,39,-0.316043262315139,-0.479068865494036
"X40",-0.928483761931148,0.116561028089072,40,-0.811922733842076,-1.04504479002022
