"","X","sum","sd","subj","upper","lower"
"1","X1",-0.539858986349022,0.0389869600667107,1,-0.500872026282312,-0.578845946415733
"2","X2",-0.373737569466631,0.211951443897173,2,-0.161786125569458,-0.585689013363805
"3","X3",-0.505113102648991,0.087205683009027,3,-0.417907419639964,-0.592318785658018
"4","X4",-0.411688596195137,0.0374882039438877,4,-0.374200392251249,-0.449176800139025
"5","X5",-0.824182426368633,0.08650761744005,5,-0.737674808928583,-0.910690043808683
"6","X6",-0.539541579246536,0.0733254599691938,6,-0.466216119277342,-0.612867039215729
"7","X7",-0.126600650097625,0.0337797094733482,7,-0.0928209406242768,-0.160380359570973
"8","X8",-0.470484851841144,0.135462127116453,8,-0.33502272472469,-0.605946978957597
"9","X9",-0.433797434029712,0.101427576545523,9,-0.332369857484189,-0.535225010575236
"10","X10",-0.250871025290661,0.0589610828688111,10,-0.191909942421849,-0.309832108159472
"11","X11",-0.580063537808097,0.128440785704259,11,-0.451622752103838,-0.708504323512356
"12","X12",-0.498550090882881,0.0435866016991527,12,-0.454963489183728,-0.542136692582033
"13","X13",-0.873495473919351,0.131834116771111,13,-0.74166135714824,-1.00532959069046
"14","X14",-0.729209662984132,0.0617513159623945,14,-0.667458347021738,-0.790960978946527
"15","X15",-0.681701444327345,0.0658914335046516,15,-0.615810010822694,-0.747592877831997
"16","X16",-0.31680005085242,0.165300318552167,16,-0.151499732300253,-0.482100369404587
"17","X17",-0.77316261162409,0.0605023032211169,17,-0.712660308402973,-0.833664914845206
"18","X18",-0.930215959473464,0.238497467053588,18,-0.691718492419877,-1.16871342652705
"19","X19",-0.716876090713999,0.101111306758057,19,-0.615764783955942,-0.817987397472056
"20","X20",-0.486005524278205,0.0468002550726874,20,-0.439205269205518,-0.532805779350893
"21","X21",-0.923122388026675,0.119297441013693,21,-0.803824947012982,-1.04241982904037
"22","X22",-0.408866633482362,0.0615823241531577,22,-0.347284309329205,-0.47044895763552
"23","X23",-0.423715828921944,0.200816396961075,23,-0.222899431960869,-0.624532225883018
"24","X24",-0.943837449685391,0.125651558301122,24,-0.81818589138427,-1.06948900798651
"25","X25",-0.673170320098194,0.0907959283292269,25,-0.582374391768968,-0.763966248427421
"26","X26",-0.634136540643481,0.0346713031496914,26,-0.59946523749379,-0.668807843793173
"27","X27",-0.505942347825474,0.0420795909422162,27,-0.463862756883258,-0.54802193876769
"28","X28",-0.642078393993379,0.054173481684196,28,-0.587904912309183,-0.696251875677575
"29","X29",-0.778228143998338,0.0557354800949944,29,-0.722492663903343,-0.833963624093332
"30","X30",-0.577762482735418,0.0582391205617891,30,-0.519523362173629,-0.636001603297208
"31","X31",-0.767933005807899,0.13142767643574,31,-0.636505329372159,-0.899360682243639
"32","X32",-0.184415462477512,0.0205642976487746,32,-0.163851164828738,-0.204979760126287
"33","X33",-0.204868187236648,0.0344208525501442,33,-0.170447334686504,-0.239289039786792
"34","X34",-0.814297115763833,0.0799435577674105,34,-0.734353557996423,-0.894240673531244
"35","X35",-0.440987941050359,0.0852813343207727,35,-0.355706606729586,-0.526269275371131
"36","X36",-0.811781977587067,0.0627390682970305,36,-0.749042909290037,-0.874521045884098
"37","X37",-0.917863165195202,0.0934913482600254,37,-0.824371816935177,-1.01135451345523
"38","X38",-0.589999118737893,0.0727995618726913,38,-0.517199556865202,-0.662798680610584
"39","X39",-0.690964227314159,0.190981903489642,39,-0.499982323824518,-0.881946130803801
"40","X40",-0.580914807288519,0.0611635513220788,40,-0.51975125596644,-0.642078358610597
"41","X41",-0.791175209171298,0.0848271344280491,41,-0.706348074743249,-0.876002343599347
"42","X42",-0.620423666660142,0.0673455107258557,42,-0.553078155934286,-0.687769177385998
"43","X43",-0.222669646517482,0.0357274273574861,43,-0.186942219159995,-0.258397073874968
"44","X44",-0.712801000179775,0.031665201218745,44,-0.68113579896103,-0.74446620139852
"45","X45",-0.657422333874908,0.0416667985018008,45,-0.615755535373108,-0.699089132376709
"46","X46",-0.296191409392497,0.0204606489098257,46,-0.275730760482671,-0.316652058302323
"47","X47",-0.110896612199025,0.0567789425716539,47,-0.0541176696273709,-0.167675554770679
"48","X48",-0.755061694306727,0.0945526858701131,48,-0.660509008436614,-0.84961438017684
"49","X49",-0.634632214631599,0.0645160639175451,49,-0.570116150714054,-0.699148278549145
"50","X50",-0.586214536004645,0.0761661147426051,50,-0.51004842126204,-0.66238065074725
"51","X51",-0.359608393653231,0.0596326652472564,51,-0.299975728405974,-0.419241058900487
"52","X52",-0.21653658787145,0.0770003722550215,52,-0.139536215616429,-0.293536960126471
"53","X53",-0.799982753905426,0.0883715212867236,53,-0.711611232618703,-0.88835427519215
"54","X54",-0.369091457580304,0.0239473651926287,54,-0.345144092387676,-0.393038822772933
"55","X55",-0.465480405162348,0.134262858695889,55,-0.331217546466459,-0.599743263858237
"56","X56",-0.320443481424359,0.0497120261972019,56,-0.270731455227158,-0.370155507621561
"57","X57",-0.502360886831021,0.167744149031659,57,-0.334616737799362,-0.67010503586268
"58","X58",-0.192239198554309,0.0838050280648721,58,-0.108434170489437,-0.276044226619182
"59","X59",-0.50768984299253,0.0277388367524158,59,-0.479951006240114,-0.535428679744946
"60","X60",-0.191228841795828,0.067597270341804,60,-0.123631571454024,-0.258826112137632
"61","X61",-0.62320259173492,0.082896937636005,61,-0.540305654098915,-0.706099529370925
"62","X62",-0.60055799151366,0.0785557105150241,62,-0.522002280998636,-0.679113702028684
"63","X63",-0.130180069613246,0.0298020747046347,63,-0.100377994908612,-0.159982144317881
"64","X64",-0.822319093554863,0.0689787822931837,64,-0.753340311261679,-0.891297875848046
"65","X65",-0.556524933040668,0.0467613034086914,65,-0.509763629631976,-0.603286236449359
"66","X66",-0.595521494832242,0.0785186019075488,66,-0.517002892924693,-0.674040096739791
"67","X67",-0.192777242990439,0.0899051347639129,67,-0.102872108226526,-0.282682377754352
"68","X68",-0.0414499012679629,0.027196297870984,68,-0.0142536033969789,-0.0686461991389469
