"","sum","sd","subj","upper","lower"
"X1",-0.202193445491531,0.0309413632321906,1,-0.171252082259341,-0.233134808723722
"X2",-0.14883530518945,0.0379764108193199,2,-0.11085889437013,-0.18681171600877
"X3",-0.289196134348402,0.0347478133565311,3,-0.254448320991871,-0.323943947704933
"X4",-0.786778294714699,0.0872238493064,4,-0.699554445408298,-0.874002144021099
"X5",-0.300165895224769,0.099503394344875,5,-0.200662500879894,-0.399669289569644
"X6",-0.617634477099316,0.0914338600213727,6,-0.526200617077944,-0.709068337120689
"X7",-0.214381909122355,0.135053835547581,7,-0.0793280735747743,-0.349435744669935
"X8",-0.0741839065335564,0.0203731566363353,8,-0.0538107498972211,-0.0945570631698918
"X9",-0.463913521043678,0.0563911888886663,9,-0.407522332155011,-0.520304709932344
"X10",-1.18321173451637,0.271732346972066,10,-0.911479387544305,-1.45494408148844
"X11",-0.468779786511034,0.0414831378728764,11,-0.427296648638157,-0.51026292438391
"X12",-0.50786244664986,0.0611642931240907,12,-0.446698153525769,-0.569026739773951
"X13",-0.450363184003353,0.0782790690853471,13,-0.372084114918006,-0.5286422530887
"X14",-0.442795465052855,0.0652096352067629,14,-0.377585829846092,-0.508005100259618
"X15",-0.556064677500245,0.146563721779464,15,-0.409500955720781,-0.702628399279709
"X16",-0.826459361796968,0.240990339115906,16,-0.585469022681061,-1.06744970091287
"X17",-0.336395255033749,0.0451689586739872,17,-0.291226296359762,-0.381564213707736
"X18",-0.215752102789053,0.0808695382747056,18,-0.134882564514347,-0.296621641063758
"X19",-0.661594766468568,0.0363439705950041,19,-0.625250795873564,-0.697938737063572
"X20",-0.514577020557682,0.0656782519152279,20,-0.448898768642454,-0.58025527247291
"X21",-0.322033584115704,0.0343026002830457,21,-0.287730983832658,-0.356336184398749
"X22",-0.693923124465859,0.0677840134771926,22,-0.626139110988667,-0.761707137943052
"X23",-0.308908107941517,0.146098460476983,23,-0.162809647464534,-0.4550065684185
"X24",-0.328013120649333,0.0562225699042254,24,-0.271790550745108,-0.384235690553558
"X25",-0.448643729546501,0.0386314215603479,25,-0.410012307986153,-0.487275151106849
"X26",-0.0393605852018327,0.0255065610459602,26,-0.0138540241558725,-0.0648671462477928
"X27",-0.253823353495831,0.0905962463176047,27,-0.163227107178226,-0.344419599813435
"X28",-0.491241746929967,0.0294978046313955,28,-0.461743942298571,-0.520739551561362
"X29",-0.552909957600772,0.0543161203404724,29,-0.498593837260299,-0.607226077941244
"X30",-0.569610799716508,0.106700259076357,30,-0.462910540640151,-0.676311058792865
"X31",-0.18789277402337,0.0660884372079512,31,-0.121804336815419,-0.253981211231321
"X32",-0.661106799091887,0.0975127914044172,32,-0.56359400768747,-0.758619590496304
"X33",-0.656686444015128,0.101313757158958,33,-0.55537268685617,-0.758000201174085
"X34",-0.172241966251821,0.0264737784553118,34,-0.145768187796509,-0.198715744707133
"X35",-0.722325334100328,0.0484641955090407,35,-0.673861138591288,-0.770789529609369
"X36",-0.665875757609803,0.0549896643247478,36,-0.610886093285055,-0.72086542193455
"X37",-0.235269256922284,0.0769642900499856,37,-0.158304966872298,-0.312233546972269
"X38",-0.618108368542383,0.0229967501730582,38,-0.595111618369325,-0.641105118715442
"X39",-0.401447321786937,0.0691094404634378,39,-0.3323378813235,-0.470556762250375
"X40",-0.81389749256362,0.0718152606930132,40,-0.742082231870607,-0.885712753256633
