"","X","sum","sd","subj","upper","lower"
"1","X1",-0.535922988093084,0.00335444857381573,1,-0.532568539519268,-0.539277436666899
"2","X2",-0.257349113464987,0.00822726124709082,2,-0.249121852217896,-0.265576374712078
"3","X3",-0.474590229672674,0.00595853985038721,3,-0.468631689822287,-0.480548769523061
"4","X4",-0.546500141450625,0.00607079197745048,4,-0.540429349473174,-0.552570933428075
"5","X5",-0.726890949232275,0.00140657301272653,5,-0.725484376219548,-0.728297522245001
"6","X6",-0.598659504572076,0.0056875587950791,6,-0.592971945776997,-0.604347063367155
"7","X7",-0.251648316411266,0.00767411155275727,7,-0.243974204858509,-0.259322427964024
"8","X8",-0.568786900981607,0.00568485691515382,8,-0.563102044066453,-0.574471757896761
"9","X9",-0.589646114669122,0.00647249329456838,9,-0.583173621374553,-0.59611860796369
"10","X10",-0.352993050385775,0.0102678026064102,10,-0.342725247779365,-0.363260852992185
"11","X11",-0.497916020968826,0.00932406580607227,11,-0.488591955162754,-0.507240086774898
"12","X12",-0.676865207196413,0.00586668133416531,12,-0.670998525862247,-0.682731888530578
"13","X13",-0.808686973019457,0.0100664352694202,13,-0.798620537750037,-0.818753408288877
"14","X14",-0.697842221030691,0.00412563261271592,14,-0.693716588417975,-0.701967853643407
"15","X15",-0.606368659072307,0.00282833027253755,15,-0.603540328799769,-0.609196989344845
"16","X16",-0.333902443355929,0.01170259016543,16,-0.322199853190499,-0.345605033521359
"17","X17",-0.770327275812271,0.00363047923927289,17,-0.766696796572998,-0.773957755051544
"18","X18",-0.5610944212224,0.00538268800309074,18,-0.555711733219309,-0.566477109225491
"19","X19",-0.587338045701136,0.00723500832174801,19,-0.580103037379388,-0.594573054022884
"20","X20",-0.761187065622152,0.00956987022894287,20,-0.751617195393209,-0.770756935851095
"21","X21",-0.709178864292562,0.00228230941253076,21,-0.706896554880032,-0.711461173705093
"22","X22",-0.570025588776203,0.0063739373962701,22,-0.563651651379933,-0.576399526172473
"23","X23",-0.22763029317066,0.0074106694821397,23,-0.22021962368852,-0.2350409626528
"24","X24",-0.683045970705041,0.00453314067632685,24,-0.678512830028714,-0.687579111381368
"25","X25",-0.589865290689513,0.00480137689414328,25,-0.58506391379537,-0.594666667583656
"26","X26",-0.685649607558887,0.0040486783939145,26,-0.681600929164973,-0.689698285952802
"27","X27",-0.596946849960101,0.00713663930032573,27,-0.589810210659775,-0.604083489260427
"28","X28",-0.708947031471208,0.00139236739162081,28,-0.707554664079587,-0.710339398862829
"29","X29",-0.769380424731512,0.00383266547235007,29,-0.765547759259162,-0.773213090203862
"30","X30",-0.621409060740765,0.00743179296194433,30,-0.61397726777882,-0.628840853702709
"31","X31",-0.736693810017869,0.00298752514272069,31,-0.733706284875149,-0.73968133516059
"32","X32",-0.785095312107544,0.00922875066639196,32,-0.775866561441152,-0.794324062773936
"33","X33",-0.854480761320363,0.0117183897121354,33,-0.842762371608227,-0.866199151032498
"34","X34",-0.676532905251579,0.00210409984693239,34,-0.674428805404647,-0.678637005098511
"35","X35",-0.58934951872098,0.00940022730286306,35,-0.579949291418117,-0.598749746023843
"36","X36",-0.737197105379964,0.00286420277005779,36,-0.734332902609906,-0.740061308150022
"37","X37",-0.730930000216457,0.00262422491628366,37,-0.728305775300173,-0.733554225132741
"38","X38",-0.548998124439896,0.00494505252330165,38,-0.544053071916595,-0.553943176963198
"39","X39",-0.542663458143231,0.0188680225412166,39,-0.523795435602014,-0.561531480684448
"40","X40",-0.67560471167339,0.00295755219520981,40,-0.672647159478181,-0.6785622638686
"41","X41",-0.73650372712718,0.00297659568104441,41,-0.733527131446135,-0.739480322808224
"42","X42",-0.635994954227303,0.00617708175453337,42,-0.629817872472769,-0.642172035981836
"43","X43",-0.806679658275874,0.00945045951388331,43,-0.797229198761991,-0.816130117789758
"44","X44",-0.710163188478348,0.00117251481806005,44,-0.708990673660288,-0.711335703296408
"45","X45",-0.726600699055588,0.00267286056130841,45,-0.72392783849428,-0.729273559616897
"46","X46",-0.565964336152003,0.0179777142428638,46,-0.547986621909139,-0.583942050394867
"47","X47",-0.222993347517107,0.00749317313162213,47,-0.215500174385485,-0.230486520648729
"48","X48",-0.762640909547172,0.00628123438356773,48,-0.756359675163604,-0.76892214393074
"49","X49",-0.532333585389914,0.00377149018180813,49,-0.528562095208106,-0.536105075571722
"50","X50",-0.701478224369305,0.00434655891273321,50,-0.697131665456572,-0.705824783282038
"51","X51",-0.790263474396673,0.00915477292126284,51,-0.78110870147541,-0.799418247317935
"52","X52",-0.241674367181269,0.00777035512616484,52,-0.233904012055104,-0.249444722307434
"53","X53",-0.731152516665401,0.00949238887677999,53,-0.721660127788622,-0.740644905542181
"54","X54",-0.620119543152312,0.00648000451155801,54,-0.613639538640754,-0.62659954766387
"55","X55",-0.656426331071905,0.0183585475172109,55,-0.638067783554694,-0.674784878589116
"56","X56",-0.598261520712199,0.00755670647287488,56,-0.590704814239324,-0.605818227185073
"57","X57",-0.360738741532178,0.008010965379141,57,-0.352727776153038,-0.368749706911319
"58","X58",-0.254183301371452,0.00769477759981658,58,-0.246488523771636,-0.261878078971269
"59","X59",-0.632738411547909,0.00543791454237865,59,-0.627300497005531,-0.638176326090288
"60","X60",-0.673806143171669,0.0132944415677308,60,-0.660511701603939,-0.6871005847394
"61","X61",-0.753719881536804,0.00693610322403696,61,-0.746783778312767,-0.760655984760841
"62","X62",-0.589260276691023,0.00813559310288434,62,-0.581124683588138,-0.597395869793907
"63","X63",-0.265058890161887,0.00661975540899983,63,-0.258439134752888,-0.271678645570887
"64","X64",-0.73002814979399,0.00168566873874819,64,-0.728342481055242,-0.731713818532738
"65","X65",-0.64399701107446,0.00460496112167144,65,-0.639392049952789,-0.648601972196132
"66","X66",-0.594560535598051,0.00515780191369895,66,-0.589402733684352,-0.59971833751175
"67","X67",-0.689564198942259,0.0374014270987709,67,-0.652162771843488,-0.72696562604103
"68","X68",-0.23466716591139,0.00750099876560394,68,-0.227166167145786,-0.242168164676994
"69","X69",-0.329470395746144,0.00775416348188346,69,-0.321716232264261,-0.337224559228028
"70","X70",-0.479070162990584,0.00693832764312055,70,-0.472131835347464,-0.486008490633705
"71","X71",-0.666005751435227,0.0101343801841434,71,-0.655871371251083,-0.67614013161937
"72","X72",-0.652761759728182,0.00482583727930186,72,-0.64793592244888,-0.657587597007484
"73","X73",-0.680560698938025,0.00348403109997914,73,-0.677076667838046,-0.684044730038004
"74","X74",-0.238848449236749,0.00759230173475499,74,-0.231256147501994,-0.246440750971504
"75","X75",-0.230657117899307,0.00735813622040629,75,-0.223298981678901,-0.238015254119714
"76","X76",-0.695262042342548,0.00426987247329118,76,-0.690992169869257,-0.699531914815839
