"","sum","sd","subj","upper","lower"
"X1",-0.878287600447511,0.0297572086481131,1,-0.848530391799398,-0.908044809095624
"X2",-0.36326310382183,0.0239948252482892,2,-0.339268278573541,-0.387257929070119
"X3",-0.411947427950864,0.0177956729097327,3,-0.394151755041131,-0.429743100860596
"X4",-0.824294559305325,0.0234383165682466,4,-0.800856242737078,-0.847732875873571
"X5",-0.48069986534489,0.0426584948655258,5,-0.438041370479365,-0.523358360210416
"X6",-0.523493345912225,0.0108653257242806,6,-0.512628020187944,-0.534358671636505
"X7",-0.219832444422199,0.0329217207631416,7,-0.186910723659057,-0.252754165185341
"X8",-0.22498723783032,0.0131682759503444,8,-0.211818961879976,-0.238155513780665
"X9",-0.584200666249348,0.0161510608099115,9,-0.568049605439436,-0.600351727059259
"X10",-1.03129823777791,0.0282049749127816,10,-1.00309326286513,-1.05950321269069
"X11",-0.586164080156353,0.0205843707955369,11,-0.565579709360816,-0.606748450951889
"X12",-0.530083506485978,0.0159371590337555,12,-0.514146347452223,-0.546020665519734
"X13",-0.472044244255426,0.0223820904999747,13,-0.449662153755452,-0.494426334755401
"X14",-0.49114709710539,0.0212743359295439,14,-0.469872761175846,-0.512421433034933
"X15",-0.392961887187029,0.0175831644883272,15,-0.375378722698702,-0.410545051675357
"X16",-0.415303895702613,0.0144718761391761,16,-0.400832019563437,-0.42977577184179
"X17",-0.414558521627122,0.0203830587098344,17,-0.394175462917288,-0.434941580336956
"X18",-0.35520593527334,0.0213895412713415,18,-0.333816394001998,-0.376595476544682
"X19",-0.660581765331513,0.0131269592522887,19,-0.647454806079224,-0.673708724583802
"X20",-0.498378818802198,0.0194114087662834,20,-0.478967410035914,-0.517790227568481
"X21",-0.331828146799333,0.00947657389858596,21,-0.322351572900747,-0.341304720697919
"X22",-0.734823809808227,0.0143007649223155,22,-0.720523044885911,-0.749124574730542
"X23",-0.237636164737141,0.0354277091638272,23,-0.202208455573314,-0.273063873900968
"X24",-0.65240818816489,0.0297859200830515,24,-0.622622268081839,-0.682194108247942
"X25",-0.840738222040665,0.0259285452364526,25,-0.814809676804212,-0.866666767277117
"X26",-0.237662542364677,0.0412876695446999,26,-0.196374872819977,-0.278950211909377
"X27",-0.274225929203816,0.0117071350877411,27,-0.262518794116075,-0.285933064291558
"X28",-0.626031633193126,0.0294587027652925,28,-0.596572930427834,-0.655490335958419
"X29",-0.69217319303738,0.0135866588617203,29,-0.67858653417566,-0.705759851899101
"X30",-0.698314833282531,0.0433991810767769,30,-0.654915652205754,-0.741714014359308
"X31",-0.225772203040343,0.0182134809437465,31,-0.207558722096597,-0.24398568398409
"X32",-0.784471543465028,0.0168581779556518,32,-0.767613365509376,-0.80132972142068
"X33",-0.694246346460013,0.0120262115054836,33,-0.682220134954529,-0.706272557965497
"X34",-0.298897527789819,0.0117664993392914,34,-0.287131028450528,-0.31066402712911
"X35",-0.667452963219806,0.00752782968038272,35,-0.659925133539424,-0.674980792900189
"X36",-0.754233876691162,0.0112040878332564,36,-0.743029788857906,-0.765437964524419
"X37",-1.03496716472081,0.0349351593736002,37,-1.00003200534721,-1.06990232409441
"X38",-0.715263384710467,0.0108260249198668,38,-0.7044373597906,-0.726089409630334
"X39",-0.453269477110653,0.0206514349124639,39,-0.43261804219819,-0.473920912023117
"X40",-0.705918546240686,0.0306491993205051,40,-0.675269346920181,-0.736567745561192
