"name","game","prob",,"c","r","N",
"00208_1381462501254.csv",1,0.8,0.6,2,0,100,
,1,0.8,0.6,1,0,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,0,,
,1,0.8,0.6,2,0,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,0,,
,1,0.8,0.6,2,0,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,1,,
,1,0.8,0.6,1,0,,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,2,0,,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,1,0,,
,1,0.8,0.6,2,1,,
,1,0.8,0.6,2,0,,
,2,0.6,0.8,1,0,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,1,1,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,1,1,,
,2,0.6,0.8,1,1,,
,2,0.6,0.8,1,1,,
,2,0.6,0.8,1,0,,
,2,0.6,0.8,1,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,1,0,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,1,0,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,2,0,,
,2,0.6,0.8,2,1,,
,2,0.6,0.8,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,2,1,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,2,0,,
,3,0.2,0.4,1,1,,
,3,0.2,0.4,1,0,,
,3,0.2,0.4,1,1,,
,3,0.2,0.4,2,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,2,0,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,2,0,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,2,0,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,2,0,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,1,1,,
,4,0.4,0.2,1,0,,
,4,0.4,0.2,1,1,,
