"","apply(fit$alpha[, , 2], 2, FUN = median)"
"1",0.818450223776417
"2",0.912624371857972
"3",0.792325089275686
"4",0.536279808680001
"5",0.469770353945544
"6",0.20322846771999
"7",0.40199499206743
"8",0.125128129893176
"9",0.793235878232167
"10",0.654054151707053
"11",0.66594541149655
"12",0.434082345683652
"13",0.204215183338166
"14",0.928106637999103
"15",0.705445048003676
"16",0.12474154006924
"17",0.83595871221348
"18",0.775775000071995
"19",0.174475195057598
"20",0.569587449206535
"21",0.967683927188385
"22",0.0249560064491613
"23",0.769759601457107
"24",0.72384627957196
"25",0.105939444445062
"26",0.188612519168454
"27",0.45171403573974
"28",0.985251988108758
"29",0.206128369606953
"30",0.936651057486091
"31",0.756168459588364
"32",0.387952054560299
"33",0.237933721250919
"34",0.798894062379191
"35",0.947845616183172
"36",0.581844687094914
"37",0.152840808936776
"38",0.91971610719774
"39",0.417535678386045
"40",0.94512066198509
"41",0.285613095270401
"42",0.183123594233254
"43",0.280878145514085
"44",0.283732372918339
"45",0.808816768707563
"46",0.829868627532587
"47",0.117874802120885
"48",0.285777229545884
"49",0.643656240421316
"50",0.95203871966156
"51",0.104119869322809
"52",0.360889045861055
"53",0.746676935674561
"54",0.355985103633885
"55",0.903899702910239
"56",0.392581066703404
"57",0.130827801923348
"58",0.064849688274153
"59",0.848498397380685
"60",0.862403738004983
"61",0.158856266252576
"62",0.0453285019136061
"63",0.091259560955508
"64",0.455462445243407
"65",0.562498274935106
"66",0.0724201789959632
"67",0.750682728149252
"68",0.273843855497355
"69",0.141325848275399
"70",0.933114020920869
"71",0.287057973126014
"72",0.0346593899260585
"73",0.014467533927015
"74",0.249567118658735
"75",0.32926233973239
"76",0.614000818029911
"77",0.317304775470535
"78",0.335293810035152
"79",0.372067369839584
"80",0.222106425192085
"81",0.0269674732427427
"82",0.528413897416867
"83",0.434887852407974
"84",0.300167514604345
"85",0.449269769703706
"86",0.498142703800618
"87",0.343559425652218
"88",0.200420847500927
"89",0.967075513945921
"90",0.18028032129722
"91",0.401382438025901
"92",0.465036520591914
"93",0.259742962563856
"94",0.770368469619758
"95",0.279420153706212
"96",0.814004244071606
"97",0.50219748970827
"98",0.227960705760588
"99",0.399316761566261
"100",0.31045755149167
"101",0.56807798929817
"102",0.123526938791212
"103",0.153937013592862
"104",0.599119656378479
"105",0.457069824891333
"106",0.304517169749415
"107",0.887133137127876
"108",0.421272208946254
"109",0.0100964692829775
"110",0.0683374448685841
"111",0.228719977782252
"112",0.400731275396117
"113",0.232199978085496
"114",0.523624118238816
"115",0.383377006582204
"116",0.648904267299397
"117",0.513442426153458
"118",0.242916103368004
"119",0.475708733958959
"120",0.509116353168545
"121",0.747696823847896
"122",0.2503897942654
"123",0.203427601589821
"124",0.0243078792524263
"125",0.264210538089387
"126",0.643639950711877
"127",0.446034057132351
"128",0.284302570609619
"129",0.31815388130762
"130",0.609776613793242
"131",0.657631925923562
"132",0.379270163813479
"133",0.665260982614262
"134",0.774426267978065
"135",0.315371382326258
"136",0.25092234351935
"137",0.0858376813668491
"138",0.0374184665669785
"139",0.650296329037085
"140",0.162880602097809
"141",0.353444265554923
"142",0.864073939629079
"143",0.391773227898209
"144",0.920953728229815
"145",0.83798026945791
"146",0.568650648761225
"147",0.132343564549302
"148",0.43450036044186
"149",0.39278798164612
"150",0.112514196402453
"151",0.849944075730293
"152",0.303276160894169
"153",0.319686405458252
"154",0.188592787891624
"155",0.953042329732494
"156",0.305287164360509
"157",0.535894746447121
"158",0.0105709778814842
"159",0.447247147270691
"160",0.19321084175869
"161",0.987483622111596
"162",0.191665701672958
"163",0.507727551341059
"164",0.42065596015568
"165",0.0215801115359805
"166",0.334148379491552
"167",0.413496559056138
"168",0.497430398419027
"169",0.381375922786292
"170",0.502028258015647
"171",0.943030189366531
"172",0.342240014194799
"173",0.417447505094987
"174",0.799735812939105
"175",0.42470665071232
"176",0.793957542822924
"177",0.660165186507151
"178",0.234590988058275
"179",0.838551713895481
"180",0.0728139832206185
"181",0.194724106865998
"182",0.73588893590476
"183",0.114367434412437
"184",0.614464649816411
"185",0.289628285353585
"186",0.356080856226042
"187",0.0717328464076206
"188",0.284533781360072
"189",0.82346692537027
"190",0.504089378508437
"191",0.747704329653999
"192",0.0153631349987527
"193",0.731942383017397
"194",0.964519455817357
"195",0.35968134143758
"196",0.442551127092482
"197",0.214002220175371
"198",0.942888418371499
"199",0.66842607735589
"200",0.266646690629064
"201",0.373745352429964
"202",0.250351435844622
"203",0.959852303872666
"204",0.547484909990454
"205",0.89785299167295
