"","apply(fit$alpha[, , 1], 2, FUN = median)"
"1",0.260580995479041
"2",0.729078879616541
"3",0.154598599554194
"4",0.065572349359673
"5",0.173948472542014
"6",0.264629387856458
"7",0.0478758961665032
"8",0.603310318385137
"9",0.416356115343488
"10",0.417092651779768
"11",0.25496768506866
"12",0.742901891021913
"13",0.143571552688586
"14",0.931605985970347
"15",0.719339333349236
"16",0.522365235779439
"17",0.173249534964042
"18",0.884062480570458
"19",0.315560679747516
"20",0.152242342481979
"21",0.865775100400986
"22",0.481386648142769
"23",0.107388422982073
"24",0.457774790281122
"25",0.28271812719443
"26",0.21374357437346
"27",0.424662655529185
"28",0.331743166922597
"29",0.303586775593367
"30",0.501828375344218
"31",0.0541226816549256
"32",0.445175362823355
"33",0.310538376929946
"34",0.71325458370892
"35",0.458141445236136
"36",0.0471031947912182
"37",0.423580263989212
"38",0.84641243126261
"39",0.600629347991685
"40",0.824081444224897
"41",0.385638661238308
"42",0.251230976387984
"43",0.266077938407244
"44",0.185798965825047
"45",0.783308388986412
"46",0.733020279311261
"47",0.185908521754681
"48",0.297421376811979
"49",0.0825081530632411
"50",0.0845262329908673
"51",0.146927268234384
"52",0.229229154383271
"53",0.0450520170958739
"54",0.283756128296588
"55",0.0422012117461798
"56",0.418478282448435
"57",0.406044461023271
"58",0.32848906845565
"59",0.015040858857883
"60",0.746311984901031
"61",0.242269390367848
"62",0.22587835838348
"63",0.692984292506832
"64",0.44902714263135
"65",0.5699930175877
"66",0.159827219638488
"67",0.0432558144615021
"68",0.742109270623781
"69",0.15112780133102
"70",0.730327538035745
"71",0.470641970518127
"72",0.526947254554742
"73",0.474824308709106
"74",0.780469759112782
"75",0.239167255222158
"76",0.824838276770622
"77",0.283432301255948
"78",0.364612260412655
"79",0.194197514413448
"80",0.696825180745708
"81",0.200277431551208
"82",0.503421018752902
"83",0.142771947237558
"84",0.434510358317084
"85",0.291888152277425
"86",0.14017230601963
"87",0.390377757096818
"88",0.348475387067093
"89",0.556729720455172
"90",0.0382423778364392
"91",0.185570502094957
"92",0.227866015912424
"93",0.284642457723499
"94",0.317403154245837
"95",0.694670285540663
"96",0.0221716606152473
"97",0.400396171755294
"98",0.67400641928305
"99",0.0813285891719514
"100",0.201131719686518
"101",0.205438405427314
"102",0.592112350929484
"103",0.513580064384516
"104",0.379866562483759
"105",0.568995283238817
"106",0.941643149972927
"107",0.670336468386279
"108",0.29618471473099
"109",0.795675060519856
"110",0.173344418867219
"111",0.356703372194569
"112",0.0855864417779836
"113",0.130737697245256
"114",0.0631300249965392
"115",0.361504578111015
"116",0.0129698568945639
"117",0.874983328835208
"118",0.463711013958197
"119",0.0356773542296628
"120",0.253080986220011
"121",0.616095433147759
"122",0.567159065027688
"123",0.185589161487472
"124",0.808219883150883
"125",0.896682195211552
"126",0.694553179470844
"127",0.284013516166674
"128",0.249518174578347
"129",0.613473323457621
"130",0.433920094585141
"131",0.443503450685944
"132",0.301290239176433
"133",0.573660989038634
"134",0.370986730992487
"135",0.154040269690016
"136",0.285094300710083
"137",0.40954293505509
"138",0.348880434481265
"139",0.0511348927959704
"140",0.612610347402098
"141",0.282559076343124
"142",0.717209242790541
"143",0.058965175097738
"144",0.778385487495129
"145",0.229796974287203
"146",0.176154756080899
"147",0.172544099436939
"148",0.12452662700994
"149",0.52671455999745
"150",0.302600161158419
"151",0.560693812225775
"152",0.0159739956755199
"153",0.164579030855014
"154",0.295273531756774
"155",0.931881582131959
"156",0.0579248632890631
"157",0.0798302098820253
"158",0.777764396383411
"159",0.369948049743505
"160",0.287629747636826
"161",0.734297324961708
"162",0.366973440332932
"163",0.128880321998992
"164",0.302445802746948
"165",0.190913098929442
"166",0.339363385622136
"167",0.0705692067879701
"168",0.0328756550152891
"169",0.084364137209881
"170",0.756379643157187
"171",0.327755961356296
"172",0.323701096295563
"173",0.84709836622413
"174",0.212703447660386
"175",0.808265950844012
"176",0.373904765900518
"177",0.0453807739383577
"178",0.484271470969221
"179",0.69341803230062
"180",0.304583909113809
"181",0.528264463288465
"182",0.797597542380416
"183",0.802968011700315
"184",0.0613196878051356
"185",0.461011210162251
"186",0.263339433502969
"187",0.925187128319473
"188",0.137209162981993
"189",0.802936232454682
"190",0.839661007618924
"191",0.806589869491474
"192",0.93428292546313
"193",0.39854461455944
"194",0.857146709196113
"195",0.176565724431842
"196",0.0706593298183925
"197",0.576536954413609
"198",0.727616864626269
"199",0.568385509255245
"200",0.266123771887883
"201",0.520228074008731
"202",0.335817505556444
"203",0.887506918272513
"204",0.301618641570289
"205",0.923908125933872
